dof_index, displacement_x, displacement_y, div_u, curl_u
1135,0,5.98293e-96,0,0
1136,0,2.81786e-95,0,0
1137,0,6.62005e-96,0,0
1138,0,6.14964e-95,0,0
1139,0,0,0,0
1140,0,0,0,0
1141,0,0,0,0
1142,0,0,0,0
1143,0,0,0,0
1144,0,0,0,0
1145,0,0,0,0
1146,0,0,0,0
1147,0,0,0,0
1148,0,0,0,0
1149,0,3.46423e-05,0,0
1150,0,-6.35789e-06,0,0
1151,0,0,0,0
1152,0,0,0,0
1153,0,4.3357,0,0
1154,0,-1.21173,0,0
1155,0,0,0,0
1156,0,0,0,0
1157,0,0,0,0
1158,0,0,0,0
1159,0,0,0,0
1160,0,0,0,0
1161,0,0.0103947,0,0
1162,0,0.00452251,0,0
1163,0,0,0,0
1164,0,0,0,0
1165,0,0,0,0
1166,0,0,0,0
1167,0,-3.02547,0,0
1168,0,-0.412098,0,0
1169,0,0,0,0
1170,0,0,0,0
1171,0,0,0,0
1172,0,0,0,0
1173,0,0,0,0
1174,0,0,0,0
1175,0,9.03593e-113,0,0
1176,0,1.69669e-112,0,0
1177,0,4.39371e-115,0,0
1178,0,1.08258e-114,0,0
1179,0,0,0,0
1180,0,0,0,0
1181,0,0,0,0
1182,0,0,0,0
1183,0,0,0,0
1184,0,0,0,0
1185,0,1.23279e-117,0,0
1186,0,7.97813e-117,0,0
1187,0,1.63605e-117,0,0
1188,0,4.40736e-117,0,0
1189,0,0,0,0
1190,0,0,0,0
1191,0,0,0,0
1192,0,0,0,0
1193,0,0,0,0
1194,0,0,0,0
1195,0,6.63497e-120,0,0
1196,0,2.14936e-119,0,0
1197,0,0,0,0
1198,0,0,0,0
1199,0,0,0,0
1200,0,0,0,0
1201,0,0,0,0
1202,0,0,0,0
1203,0,1.46299e-14,0,0
1204,0,7.33458e-15,0,0
1205,0,5.75112e-14,0,0
1206,0,3.04992e-14,0,0
1207,0,1.10287e-13,0,0
1208,0,5.40035e-14,0,0
1209,0,0,0,0
1210,0,0,0,0
1211,0,2.20869e-11,0,0
1212,0,4.42683e-12,0,0
1213,0,4.97909e-13,0,0
1214,0,1.93885e-13,0,0
1215,0,4.32586e-99,0,0
1216,0,2.19108e-99,0,0
1217,0,2.67303e-100,0,0
1218,0,5.1211e-100,0,0
1219,0,2.00563e-101,0,0
1220,0,3.24446e-101,0,0
1221,0,2.66029e-101,0,0
1222,0,2.40971e-101,0,0
1223,0,5.94442e-100,0,0
1224,0,7.18634e-100,0,0
1225,0,3.97213e-102,0,0
1226,0,4.52245e-102,0,0
1227,0,0,0,0
1228,0,0,0,0
1229,0,0,0,0
1230,0,0,0,0
1231,0,1.87595e-49,0,0
1232,0,-1.44096e-50,0,0
1233,0,0,0,0
1234,0,0,0,0
1235,0,0,0,0
1236,0,0,0,0
1237,0,3.52608e-50,0,0
1238,0,1.01688e-50,0,0
1239,0,1.1547e-49,0,0
1240,0,2.91369e-50,0,0
1241,0,8.88846e-49,0,0
1242,0,4.5787e-49,0,0
1243,0,1.99993e-50,0,0
1244,0,7.43882e-51,0,0
1245,0,8.70454e-52,0,0
1246,0,2.90786e-52,0,0
1247,0,0,0,0
1248,0,0,0,0
1249,0,0,0,0
1250,0,0,0,0
1251,0,0,0,0
1252,0,0,0,0
1253,0,0,0,0
1254,0,0,0,0
1255,0,0,0,0
1256,0,0,0,0
1257,0,0,0,0
1258,0,0,0,0
1259,0,0,0,0
1260,0,0,0,0
1261,0,0,0,0
1262,0,0,0,0
1263,0,1.31376e-16,0,0
1264,0,-1.40079e-17,0,0
1265,0,0,0,0
1266,0,0,0,0
1267,0,2.94391e-61,0,0
1268,0,2.13649e-61,0,0
1269,0,1.10302e-61,0,0
1270,0,3.00469e-62,0,0
1271,0,-3.15798e-69,0,0
1272,0,2.23106e-68,0,0
1273,0,1.2643e-62,0,0
1274,0,7.99009e-63,0,0
1275,0,6.13148e-62,0,0
1276,0,2.4056e-62,0,0
1277,0,2.96819e-60,0,0
1278,0,-4.69413e-61,0,0
1279,0,0,0,0
1280,0,0,0,0
1281,0,7.28234e-62,0,0
1282,0,-8.79796e-63,0,0
1283,0,1.12958e-65,0,0
1284,0,6.93244e-66,0,0
1285,0,2.61135e-67,0,0
1286,0,1.42085e-67,0,0
1287,0,4.7314e-68,0,0
1288,0,1.45304e-68,0,0
1289,0,0,0,0
1290,0,0,0,0
1291,0,0,0,0
1292,0,0,0,0
1293,0,0,0,0
1294,0,0,0,0
1295,0,3.73005e-64,0,0
1296,0,1.93313e-64,0,0
1297,0,0,0,0
1298,0,0,0,0
1299,0,0,0,0
1300,0,0,0,0
1301,0,0,0,0
1302,0,0,0,0
1303,0,0,0,0
1304,0,0,0,0
1305,0,0,0,0
1306,0,0,0,0
1307,0,0,0,0
1308,0,0,0,0
1309,0,0,0,0
1310,0,0,0,0
1311,0,0,0,0
1312,0,0,0,0
1313,0,0,0,0
1314,0,0,0,0
1315,0,0,0,0
1316,0,0,0,0
1317,0,0,0,0
1318,0,0,0,0
1319,0,0,0,0
1320,0,0,0,0
1321,0,1.71552e-75,0,0
1322,0,3.53254e-75,0,0
1323,0,0,0,0
1324,0,0,0,0
1325,0,0,0,0
1326,0,0,0,0
1327,0,0,0,0
1328,0,0,0,0
1329,0,3.33793e-98,0,0
1330,0,3.72598e-98,0,0
1331,0,-1.12636e-27,0,0
1332,0,1.91768e-26,0,0
1333,0,1.14788e-10,0,0
1334,0,-2.94835e-11,0,0
1335,0,2.95285e-10,0,0
1336,0,-8.64742e-11,0,0
1337,0,4.4801e-11,0,0
1338,0,-2.19988e-11,0,0
1339,0,3.90509e-76,0,0
1340,0,6.10422e-76,0,0
1341,0,7.72732e-78,0,0
1342,0,2.23693e-77,0,0
1343,0,1.05619e-76,0,0
1344,0,8.17626e-76,0,0
1345,0,2.92514e-76,0,0
1346,0,5.67355e-76,0,0
1347,0,7.044e-39,0,0
1348,0,8.59585e-41,0,0
1349,0,6.81146e-40,0,0
1350,0,-2.28074e-40,0,0
1351,0,0,0,0
1352,0,0,0,0
1353,0,1.79917e-07,0,0
1354,0,-5.4695e-08,0,0
1355,0,3.22804e-90,0,0
1356,0,6.37819e-90,0,0
1357,0,9.74625e-89,0,0
1358,0,3.96059e-88,0,0
1359,0,0,0,0
1360,0,0,0,0
1361,0,0,0,0
1362,0,0,0,0
1363,0,-1.00669,0,0
1364,0,-1.18736,0,0
1365,0,0,0,0
1366,0,0,0,0
1367,0,0,0,0
1368,0,0,0,0
1369,0,0,0,0
1370,0,0,0,0
1371,0,0,0,0
1372,0,0,0,0
1373,0,2.34052e-89,0,0
1374,0,5.45336e-89,0,0
1375,0,0,0,0
1376,0,0,0,0
1377,0,0,0,0
1378,0,0,0,0
1379,0,0,0,0
1380,0,0,0,0
1381,0,0,0,0
1382,0,0,0,0
1383,0,5.41183e-15,0,0
1384,0,6.08304e-16,0,0
1385,0,0,0,0
1386,0,0,0,0
1387,0,1.47854e-62,0,0
1388,0,8.86553e-63,0,0
1389,0,0,0,0
1390,0,0,0,0
1391,0,0,0,0
1392,0,0,0,0
1393,0,0,0,0
1394,0,0,0,0
1395,0,0,0,0
1396,0,0,0,0
1397,0,0,0,0
1398,0,0,0,0
1399,0,0,0,0
1400,0,0,0,0
1401,0,0,0,0
1402,0,0,0,0
1403,0,0,0,0
1404,0,0,0,0
1405,0,0,0,0
1406,0,0,0,0
1407,0,0,0,0
1408,0,0,0,0
1409,0,0,0,0
1410,0,0,0,0
1411,0,6.15333e-12,0,0
1412,0,1.41261e-12,0,0
1413,0,7.89571e-13,0,0
1414,0,1.71498e-13,0,0
1415,0,0,0,0
1416,0,0,0,0
1417,0,0,0,0
1418,0,0,0,0
1419,0,0,0,0
1420,0,0,0,0
1421,0,3.18571e-10,0,0
1422,0,4.6517e-11,0,0
1423,0,0,0,0
1424,0,0,0,0
1425,0,0,0,0
1426,0,0,0,0
1427,0,4.51409e-11,0,0
1428,0,7.56389e-11,0,0
1429,0,8.06329e-12,0,0
1430,0,1.14026e-11,0,0
1431,0,5.924e-62,0,0
1432,0,1.45963e-61,0,0
1433,0,2.95327e-62,0,0
1434,0,4.14375e-62,0,0
1435,0,3.81468e-11,0,0
1436,0,5.38647e-11,0,0
1437,0,0,0,0
1438,0,0,0,0
1439,0,0,0,0
1440,0,0,0,0
1441,0,0,0,0
1442,0,0,0,0
1443,0,5.07676e-12,0,0
1444,0,7.58374e-12,0,0
1445,0,0,0,0
1446,0,0,0,0
1447,0,0,0,0
1448,0,0,0,0
1449,0,5.36208e-44,0,0
1450,0,1.77274e-44,0,0
1451,0,1.74566e-43,0,0
1452,0,3.939e-44,0,0
1453,0,5.98992e-45,0,0
1454,0,1.78498e-45,0,0
1455,0,2.04216e-44,0,0
1456,0,8.2205e-45,0,0
1457,0,1.03346e-44,0,0
1458,0,2.90537e-45,0,0
1459,0,2.2491e-43,0,0
1460,0,5.06718e-44,0,0
1461,0,7.64675e-08,0,0
1462,0,2.02475e-08,0,0
1463,0,6.45914e-44,0,0
1464,0,1.29166e-44,0,0
1465,0,8.05154e-59,0,0
1466,0,3.41091e-57,0,0
1467,0,2.99735e-59,0,0
1468,0,6.10339e-59,0,0
1469,0,0.699461,0,0
1470,0,0.772095,0,0
1471,0,7.00797e-56,0,0
1472,0,1.44676e-55,0,0
1473,0,9.46535e-57,0,0
1474,0,2.59285e-56,0,0
1475,0,2.41229e-55,0,0
1476,0,5.81218e-55,0,0
1477,0,0,0,0
1478,0,0,0,0
1479,0,0,0,0
1480,0,0,0,0
1481,0,0,0,0
1482,0,0,0,0
1483,0,0,0,0
1484,0,0,0,0
1485,0,0,0,0
1486,0,0,0,0
1487,0,0,0,0
1488,0,0,0,0
1489,0,0,0,0
1490,0,0,0,0
1491,0,0,0,0
1492,0,0,0,0
1493,0,0,0,0
1494,0,0,0,0
1495,0,0,0,0
1496,0,0,0,0
1497,0,2.74104e-75,0,0
1498,0,8.24864e-75,0,0
1499,0,0,0,0
1500,0,0,0,0
1501,0,2.15451e-74,0,0
1502,0,1.05709e-73,0,0
1503,0,0,0,0
1504,0,0,0,0
1505,0,0,0,0
1506,0,0,0,0
1507,0,0,0,0
1508,0,0,0,0
1509,0,0,0,0
1510,0,0,0,0
1511,0,0,0,0
1512,0,0,0,0
1513,0,5.26032e-10,0,0
1514,0,9.66943e-11,0,0
1515,0,0,0,0
1516,0,0,0,0
1517,0,1.82205e-70,0,0
1518,0,2.82792e-70,0,0
1519,0,7.56157e-70,0,0
1520,0,7.00138e-70,0,0
1521,0,3.7672e-69,0,0
1522,0,1.13186e-68,0,0
1523,0,3.70219e-10,0,0
1524,0,7.16845e-11,0,0
1525,0,0,0,0
1526,0,0,0,0
1527,0,0,0,0
1528,0,0,0,0
1529,0,0,0,0
1530,0,0,0,0
1531,0,0,0,0
1532,0,0,0,0
1533,0,0,0,0
1534,0,0,0,0
1535,0,0,0,0
1536,0,0,0,0
1537,0,0,0,0
1538,0,0,0,0
1539,0,0,0,0
1540,0,0,0,0
1541,0,0,0,0
1542,0,0,0,0
1543,0,0,0,0
1544,0,0,0,0
1545,0,0,0,0
1546,0,0,0,0
1547,0,0,0,0
1548,0,0,0,0
1549,0,0,0,0
1550,0,0,0,0
1551,0,0,0,0
1552,0,0,0,0
1553,0,1.35974e-126,0,0
1554,0,5.33929e-127,0,0
1555,0,3.36829e-124,0,0
1556,0,1.89441e-124,0,0
1557,0,0,0,0
1558,0,0,0,0
1559,0,0,0,0
1560,0,0,0,0
1561,0,0,0,0
1562,0,0,0,0
1563,0,0,0,0
1564,0,0,0,0
1565,0,0,0,0
1566,0,0,0,0
1567,0,0,0,0
1568,0,0,0,0
1569,0,7.10952e-119,0,0
1570,0,1.08508e-118,0,0
1571,0,1.40351e-116,0,0
1572,0,2.39496e-116,0,0
1573,0,5.59608e-52,0,0
1574,0,3.93581e-51,0,0
1575,0,1.33311e-53,0,0
1576,0,1.42846e-52,0,0
1577,0,1.11061e-112,0,0
1578,0,4.91809e-112,0,0
1579,0,2.42171e-112,0,0
1580,0,4.27993e-112,0,0
1581,0,2.83503e-110,0,0
1582,0,1.01071e-109,0,0
1583,0,0,0,0
1584,0,0,0,0
1585,0,0,0,0
1586,0,0,0,0
1587,0,0,0,0
1588,0,0,0,0
1589,0,0,0,0
1590,0,0,0,0
1591,0,6.66304e-101,0,0
1592,0,3.47936e-101,0,0
1593,0,8.60989e-103,0,0
1594,0,4.58362e-103,0,0
1595,0,2.84198e-104,0,0
1596,0,4.079e-104,0,0
1597,0,0.807201,0,0
1598,0,1.05758,0,0
1599,0,0,0,0
1600,0,0,0,0
1601,0,0,0,0
1602,0,0,0,0
1603,0,8.99002e-126,0,0
1604,0,2.78469e-125,0,0
1605,0,-5.15432e-64,0,0
1606,0,2.01209e-62,0,0
1607,0,2.58829e-64,0,0
1608,0,9.56763e-64,0,0
1609,0,0,0,0
1610,0,0,0,0
1611,0,0.000123771,0,0
1612,0,6.04311e-05,0,0
1613,0,0.000122632,0,0
1614,0,6.6894e-05,0,0
1615,0,0,0,0
1616,0,0,0,0
1617,0,-1.19248,0,0
1618,0,-2.18244,0,0
1619,0,-0.680475,0,0
1620,0,-1.21847,0,0
1621,0,0,0,0
1622,0,0,0,0
1623,0,0,0,0
1624,0,0,0,0
1625,0,0,0,0
1626,0,0,0,0
1627,0,0,0,0
1628,0,0,0,0
1629,0,0,0,0
1630,0,0,0,0
1631,0,3.52723e-99,0,0
1632,0,3.53811e-99,0,0
1633,0,5.23191e-99,0,0
1634,0,1.58017e-99,0,0
1635,0,0,0,0
1636,0,0,0,0
1637,0,5.21296e-97,0,0
1638,0,3.0613e-97,0,0
1639,0,6.25166e-44,0,0
1640,0,-6.8436e-45,0,0
1641,0,1.63022e-42,0,0
1642,0,-3.10191e-43,0,0
1643,0,1.15519e-43,0,0
1644,0,-2.86098e-44,0,0
1645,0,3.40694e-42,0,0
1646,0,-6.75774e-43,0,0
1647,0,0,0,0
1648,0,0,0,0
1649,0,0,0,0
1650,0,0,0,0
1651,0,0,0,0
1652,0,0,0,0
1653,0,1.20703e-09,0,0
1654,0,2.89481e-10,0,0
1655,0,8.71532e-10,0,0
1656,0,2.56104e-10,0,0
1657,0,1.13691e-72,0,0
1658,0,6.08146e-74,0,0
1659,0,2.98627e-74,0,0
1660,0,4.74642e-75,0,0
1661,0,1.28573e-74,0,0
1662,0,6.15073e-75,0,0
1663,0,1.93712e-10,0,0
1664,0,5.61598e-11,0,0
1665,0,0,0,0
1666,0,0,0,0
1667,0,1.6268e-69,0,0
1668,0,3.3148e-70,0,0
1669,0,1.84439e-71,0,0
1670,0,6.07756e-72,0,0
1671,0,1.44855e-70,0,0
1672,0,1.09379e-71,0,0
1673,0,0,0,0
1674,0,0,0,0
1675,0,0,0,0
1676,0,0,0,0
1677,0,0,0,0
1678,0,0,0,0
1679,0,0,0,0
1680,0,0,0,0
1681,0,3.49088e-88,0,0
1682,0,1.16437e-87,0,0
1683,0,0,0,0
1684,0,0,0,0
1685,0,0,0,0
1686,0,0,0,0
1687,0,1.86638e-22,0,0
1688,0,3.56986e-22,0,0
1689,0,1.13029e-23,0,0
1690,0,3.41863e-23,0,0
1691,0,9.77684e-23,0,0
1692,0,4.33295e-22,0,0
1693,0,1.98094e-21,0,0
1694,0,3.89839e-21,0,0
1695,0,3.51341e-69,0,0
1696,0,2.39903e-68,0,0
1697,0,0,0,0
1698,0,0,0,0
1699,0,0,0,0
1700,0,0,0,0
1701,0,0,0,0
1702,0,0,0,0
1703,0,1.43837e-23,0,0
1704,0,3.07441e-23,0,0
1705,0,4.95946e-23,0,0
1706,0,1.22875e-22,0,0
1707,0,0,0,0
1708,0,0,0,0
1709,0,0,0,0
1710,0,0,0,0
1711,0,0,0,0
1712,0,0,0,0
1713,0,0,0,0
1714,0,0,0,0
1715,0,0,0,0
1716,0,0,0,0
1717,0,0,0,0
1718,0,0,0,0
1719,0,0,0,0
1720,0,0,0,0
1721,0,0,0,0
1722,0,0,0,0
1723,0,0,0,0
1724,0,0,0,0
1725,0,0,0,0
1726,0,0,0,0
1727,0,0,0,0
1728,0,0,0,0
1729,0,0,0,0
1730,0,0,0,0
1731,0,2.77921e-21,0,0
1732,0,-2.44426e-22,0,0
1733,0,1.2533e-21,0,0
1734,0,-1.6933e-22,0,0
1735,0,2.05141e-22,0,0
1736,0,-1.04874e-23,0,0
1737,0,0,0,0
1738,0,0,0,0
1739,0,0,0,0
1740,0,0,0,0
1741,0,2.3004e-63,0,0
1742,0,7.45409e-63,0,0
1743,0,0,0,0
1744,0,0,0,0
1745,0,0,0,0
1746,0,0,0,0
1747,0,2.44363e-61,0,0
1748,0,2.99738e-61,0,0
1749,0,4.24405e-63,0,0
1750,0,4.58985e-63,0,0
1751,0,0,0,0
1752,0,0,0,0
1753,0,0,0,0
1754,0,0,0,0
1755,0,2.24379e-60,0,0
1756,0,3.53122e-60,0,0
1757,0,1.4115e-59,0,0
1758,0,9.84767e-60,0,0
1759,0,8.6888e-59,0,0
1760,0,1.1829e-58,0,0
1761,0,0,0,0
1762,0,0,0,0
1763,0,0,0,0
1764,0,0,0,0
1765,0,0,0,0
1766,0,0,0,0
1767,0,0,0,0
1768,0,0,0,0
1769,0,0,0,0
1770,0,0,0,0
1771,0,0,0,0
1772,0,0,0,0
1773,0,0.38424,0,0
1774,0,0.327702,0,0
1775,0,-0.838987,0,0
1776,0,-1.63988,0,0
1777,0,-0.302335,0,0
1778,0,0.18777,0,0
1779,0,0,0,0
1780,0,0,0,0
1781,0,0,0,0
1782,0,0,0,0
1783,0,0,0,0
1784,0,0,0,0
1785,0,0,0,0
1786,0,0,0,0
1787,0,0,0,0
1788,0,0,0,0
1789,0,0,0,0
1790,0,0,0,0
1791,0,2.29572e-79,0,0
1792,0,9.57663e-79,0,0
1793,0,0,0,0
1794,0,0,0,0
1795,0,0,0,0
1796,0,0,0,0
1797,0,0,0,0
1798,0,0,0,0
1799,0,0,0,0
1800,0,0,0,0
1801,0,0,0,0
1802,0,0,0,0
1803,0,0,0,0
1804,0,0,0,0
1805,0,0,0,0
1806,0,0,0,0
1807,0,0,0,0
1808,0,0,0,0
1809,0,0,0,0
1810,0,0,0,0
1811,0,0.873694,0,0
1812,0,1.84153,0,0
1813,0,0.359895,0,0
1814,0,0.431121,0,0
1815,0,0.414418,0,0
1816,0,0.875618,0,0
1817,0,0,0,0
1818,0,0,0,0
1819,0,0,0,0
1820,0,0,0,0
1821,0,0,0,0
1822,0,0,0,0
1823,0,0,0,0
1824,0,0,0,0
1825,0,0,0,0
1826,0,0,0,0
1827,0,0,0,0
1828,0,0,0,0
1829,0,1.57395e-77,0,0
1830,0,2.14824e-77,0,0
1831,0,6.04017e-79,0,0
1832,0,1.19702e-78,0,0
1833,0,0,0,0
1834,0,0,0,0
1835,0,-1.03039,0,0
1836,0,-1.58588,0,0
1837,0,6.50689e-12,0,0
1838,0,5.51664e-12,0,0
1839,0,1.01022e-11,0,0
1840,0,9.22312e-12,0,0
1841,0,4.39289e-11,0,0
1842,0,4.40862e-11,0,0
1843,0,0,0,0
1844,0,0,0,0
1845,0,0,0,0
1846,0,0,0,0
1847,0,0,0,0
1848,0,0,0,0
1849,0,0,0,0
1850,0,0,0,0
1851,0,0,0,0
1852,0,0,0,0
1853,0,0,0,0
1854,0,0,0,0
1855,0,0,0,0
1856,0,0,0,0
1857,0,2.4197e-11,0,0
1858,0,2.1631e-11,0,0
1859,0,0,0,0
1860,0,0,0,0
1861,0,2.24588e-11,0,0
1862,0,1.89693e-11,0,0
1863,0,2.59234e-12,0,0
1864,0,2.45861e-12,0,0
1865,0,1.11437e-86,0,0
1866,0,1.00418e-86,0,0
1867,0,1.50216e-85,0,0
1868,0,1.49794e-85,0,0
1869,0,2.28761e-88,0,0
1870,0,1.63005e-87,0,0
1871,0,0,0,0
1872,0,0,0,0
1873,0,0,0,0
1874,0,0,0,0
1875,0,-6.19109e-92,0,0
1876,0,1.67151e-91,0,0
1877,0,0,0,0
1878,0,0,0,0
1879,0,0,0,0
1880,0,0,0,0
1881,0,-0.21797,0,0
1882,0,0.0867824,0,0
1883,0,0,0,0
1884,0,0,0,0
1885,0,0,0,0
1886,0,0,0,0
1887,0,0,0,0
1888,0,0,0,0
1889,0,0,0,0
1890,0,0,0,0
1891,0,0,0,0
1892,0,0,0,0
1893,0,8.92972e-10,0,0
1894,0,1.70965e-10,0,0
1895,0,0,0,0
1896,0,0,0,0
1897,0,0,0,0
1898,0,0,0,0
1899,0,0,0,0
1900,0,0,0,0
1901,0,0,0,0
1902,0,0,0,0
1903,0,0,0,0
1904,0,0,0,0
1905,0,0,0,0
1906,0,0,0,0
1907,0,0,0,0
1908,0,0,0,0
1909,0,0,0,0
1910,0,0,0,0
1911,0,0,0,0
1912,0,0,0,0
1913,0,0.143827,0,0
1914,0,0.185281,0,0
1915,0,0,0,0
1916,0,0,0,0
1917,0,0.21025,0,0
1918,0,0.0313622,0,0
1919,0,0,0,0
1920,0,0,0,0
1921,0,0,0,0
1922,0,0,0,0
1923,0,0,0,0
1924,0,0,0,0
1925,0,0,0,0
1926,0,0,0,0
1927,0,0,0,0
1928,0,0,0,0
1929,0,0,0,0
1930,0,0,0,0
1931,0,0,0,0
1932,0,0,0,0
1933,0,0,0,0
1934,0,0,0,0
1935,0,0,0,0
1936,0,0,0,0
1937,0,0,0,0
1938,0,0,0,0
1939,0,0,0,0
1940,0,0,0,0
1941,0,0,0,0
1942,0,0,0,0
1943,0,0,0,0
1944,0,0,0,0
1945,0,0,0,0
1946,0,0,0,0
1947,0,0,0,0
1948,0,0,0,0
1949,0,0,0,0
1950,0,0,0,0
1951,0,1.38426e-64,0,0
1952,0,4.02953e-65,0,0
1953,0,2.12075e-65,0,0
1954,0,1.31562e-65,0,0
1955,0,4.99848e-66,0,0
1956,0,1.79748e-66,0,0
1957,0,4.6748e-67,0,0
1958,0,2.25996e-67,0,0
1959,0,0,0,0
1960,0,0,0,0
1961,0,0,0,0
1962,0,0,0,0
1963,0,0,0,0
1964,0,0,0,0
1965,0,1.43124e-63,0,0
1966,0,4.91231e-64,0,0
1967,0,4.07808e-63,0,0
1968,0,1.68915e-63,0,0
1969,0,4.8517e-62,0,0
1970,0,1.91655e-62,0,0
1971,0,1.23604e-112,0,0
1972,0,1.66132e-113,0,0
1973,0,3.69517e-112,0,0
1974,0,2.75636e-112,0,0
1975,0,1.51722e-112,0,0
1976,0,1.66072e-112,0,0
1977,0,1.29248e-114,0,0
1978,0,4.50251e-115,0,0
1979,0,3.27192e-48,0,0
1980,0,4.54913e-49,0,0
1981,0,8.52239e-49,0,0
1982,0,1.14864e-49,0,0
1983,0,0,0,0
1984,0,0,0,0
1985,0,0,0,0
1986,0,0,0,0
1987,0,0,0,0
1988,0,0,0,0
1989,0,0,0,0
1990,0,0,0,0
1991,0,0,0,0
1992,0,0,0,0
1993,0,0,0,0
1994,0,0,0,0
1995,0,0,0,0
1996,0,0,0,0
1997,0,0,0,0
1998,0,0,0,0
1999,0,0,0,0
2000,0,0,0,0
2001,0,0,0,0
2002,0,0,0,0
2003,0,0,0,0
2004,0,0,0,0
2005,0,0,0,0
2006,0,0,0,0
2007,0,0,0,0
2008,0,0,0,0
2009,0,1.48517e-11,0,0
2010,0,-2.56801e-12,0,0
2011,0,0,0,0
2012,0,0,0,0
2013,0,0,0,0
2014,0,0,0,0
2015,0,0,0,0
2016,0,0,0,0
2017,0,3.5338e-08,0,0
2018,0,2.86315e-09,0,0
2019,0,0,0,0
2020,0,0,0,0
2021,0,0,0,0
2022,0,0,0,0
2023,0,0,0,0
2024,0,0,0,0
2025,0,-1.19375,0,0
2026,0,-1.87721,0,0
2027,0,-1.5446,0,0
2028,0,-1.62678,0,0
2029,0,0,0,0
2030,0,0,0,0
2031,0,0,0,0
2032,0,0,0,0
2033,0,-0.213292,0,0
2034,0,-0.47181,0,0
2035,0,4.5861e-09,0,0
2036,0,1.85394e-09,0,0
2037,0,1.54973e-09,0,0
2038,0,6.97647e-10,0,0
2039,0,3.29886e-10,0,0
2040,0,-5.10488e-11,0,0
2041,0,3.92277e-10,0,0
2042,0,-3.19451e-11,0,0
2043,0,0,0,0
2044,0,0,0,0
2045,0,0.236879,0,0
2046,0,0.368544,0,0
2047,0,0,0,0
2048,0,0,0,0
2049,0,0.00010291,0,0
2050,0,0.00010432,0,0
2051,0,0,0,0
2052,0,0,0,0
2053,0,5.84685e-61,0,0
2054,0,1.35037e-60,0,0
2055,0,0,0,0
2056,0,0,0,0
2057,0,0,0,0
2058,0,0,0,0
2059,0,1.68987e-16,0,0
2060,0,1.45242e-16,0,0
2061,0,1.97176e-16,0,0
2062,0,1.71036e-16,0,0
2063,0,0,0,0
2064,0,0,0,0
2065,0,0,0,0
2066,0,0,0,0
2067,0,1.86879e-15,0,0
2068,0,1.45501e-15,0,0
2069,0,7.88772e-05,0,0
2070,0,1.87985e-05,0,0
2071,0,0.000112701,0,0
2072,0,2.69726e-05,0,0
2073,0,1.90736e-17,0,0
2074,0,1.59924e-17,0,0
2075,0,0,0,0
2076,0,0,0,0
2077,0,0,0,0
2078,0,0,0,0
2079,0,0,0,0
2080,0,0,0,0
2081,0,0,0,0
2082,0,0,0,0
2083,0,0.0227999,0,0
2084,0,0.0852215,0,0
2085,0,0,0,0
2086,0,0,0,0
2087,0,0,0,0
2088,0,0,0,0
2089,0,1.33637,0,0
2090,0,0.638982,0,0
2091,0,0,0,0
2092,0,0,0,0
2093,0,4.22175e-131,0,0
2094,0,4.55271e-131,0,0
2095,0,0,0,0
2096,0,0,0,0
2097,0,0,0,0
2098,0,0,0,0
2099,0,0,0,0
2100,0,0,0,0
2101,0,7.3585e-52,0,0
2102,0,1.8556e-51,0,0
2103,0,1.57014e-52,0,0
2104,0,3.00731e-52,0,0
2105,0,0.581388,0,0
2106,0,0.208592,0,0
2107,0,1.70511e-17,0,0
2108,0,1.3046e-17,0,0
2109,0,0,0,0
2110,0,0,0,0
2111,0,0,0,0
2112,0,0,0,0
2113,0,0,0,0
2114,0,0,0,0
2115,0,0,0,0
2116,0,0,0,0
2117,0,2.43261e-45,0,0
2118,0,-5.95124e-46,0,0
2119,0,3.12235e-44,0,0
2120,0,-3.14912e-45,0,0
2121,0,7.24691e-47,0,0
2122,0,-1.278e-47,0,0
2123,0,0,0,0
2124,0,0,0,0
2125,0,0,0,0
2126,0,0,0,0
2127,0,0,0,0
2128,0,0,0,0
2129,0,0,0,0
2130,0,0,0,0
2131,0,0,0,0
2132,0,0,0,0
2133,0,0,0,0
2134,0,0,0,0
2135,0,0,0,0
2136,0,0,0,0
2137,0,0,0,0
2138,0,0,0,0
2139,0,0,0,0
2140,0,0,0,0
2141,0,0,0,0
2142,0,0,0,0
2143,0,2.36027e-26,0,0
2144,0,8.38352e-27,0,0
2145,0,3.09058e-27,0,0
2146,0,9.56947e-28,0,0
2147,0,2.28826e-26,0,0
2148,0,7.13198e-27,0,0
2149,0,0,0,0
2150,0,0,0,0
2151,0,0,0,0
2152,0,0,0,0
2153,0,0,0,0
2154,0,0,0,0
2155,0,0,0,0
2156,0,0,0,0
2157,0,0,0,0
2158,0,0,0,0
2159,0,0,0,0
2160,0,0,0,0
2161,0,0,0,0
2162,0,0,0,0
2163,0,0,0,0
2164,0,0,0,0
2165,0,0,0,0
2166,0,0,0,0
2167,0,0,0,0
2168,0,0,0,0
2169,0,0,0,0
2170,0,0,0,0
2171,0,0,0,0
2172,0,0,0,0
2173,0,0,0,0
2174,0,0,0,0
2175,0,0,0,0
2176,0,0,0,0
2177,0,-3.84018e-71,0,0
2178,0,3.5619e-68,0,0
2179,0,2.30882e-71,0,0
2180,0,6.97768e-70,0,0
2181,0,2.36103e-69,0,0
2182,0,4.40956e-69,0,0
